日期,AQI,质量等级,PM2.5含量（ppm）,PM10含量（ppm）,SO2含量（ppm）,CO含量（ppm）,NO2含量（ppm）,O3_8h含量（ppm）
2020/1/1,79,良,58,64,8,0.7,57,23
2020/1/2,112,轻度污染,84,73,10,1.0,71,7
2020/1/3,68,良,49,51,7,0.8,49,3
2020/1/4,90,良,67,57,7,1.2,53,18
2020/1/5,110,轻度污染,83,65,7,1.0,51,46
2020/1/6,65,良,47,58,6,1.0,43,6
2020/1/7,50,优,18,19,5,1.5,40,43
2020/1/8,69,良,50,49,7,0.9,39,45
2020/1/9,69,良,50,40,6,0.9,47,33
2020/1/10,57,良,34,28,5,0.8,45,21
2020/1/11,47,优,27,21,6,0.7,37,39
2020/1/12,125,轻度污染,95,74,8,1.0,44,71
2020/1/13,148,轻度污染,113,94,9,1.3,59,53
2020/1/14,172,中度污染,130,114,12,1.4,62,65
2020/1/15,113,轻度污染,85,62,8,1.2,50,32
2020/1/16,55,良,16,14,5,0.8,44,38
2020/1/17,82,良,60,43,6,0.9,42,25
2020/1/18,88,良,65,55,6,0.8,51,31
2020/1/19,112,轻度污染,84,77,10,1.0,53,77
2020/1/20,127,轻度污染,96,99,14,1.2,70,90
2020/1/21,203,重度污染,153,113,9,1.3,43,60
2020/1/22,148,轻度污染,113,77,6,1.2,43,30
2020/1/23,58,良,41,37,5,0.6,26,42
2020/1/24,79,良,58,57,6,0.7,18,78
2020/1/25,40,优,26,40,5,0.5,17,61
2020/1/26,29,优,20,17,5,0.5,21,56
2020/1/27,70,良,51,41,5,0.8,21,57
2020/1/28,95,良,71,65,6,0.7,19,70
2020/1/29,84,良,62,60,10,0.7,25,77
2020/1/30,128,轻度污染,97,85,9,1.0,26,103
2020/1/31,125,轻度污染,95,82,10,1.0,43,94
2020/2/1,75,良,55,49,7,0.7,21,102
2020/2/2,42,优,28,30,8,0.5,26,84
2020/2/3,109,轻度污染,82,68,9,0.9,30,109
2020/2/4,92,良,68,60,7,0.8,22,103
2020/2/5,65,良,47,44,7,0.8,19,106
2020/2/6,38,优,22,25,5,0.6,11,75
2020/2/7,33,优,14,16,5,0.6,12,66
2020/2/8,62,良,44,40,5,0.6,22,45
2020/2/9,53,良,37,34,7,0.6,25,79
2020/2/10,48,优,33,36,8,0.7,32,69
2020/2/11,35,优,24,26,6,0.7,20,47
2020/2/12,43,优,30,34,5,0.9,23,56
2020/2/13,22,优,15,18,5,0.8,15,30
2020/2/14,23,优,14,17,5,0.8,18,32
2020/2/15,27,优,8,10,5,0.7,14,53
2020/2/16,42,优,21,31,7,0.5,11,83
2020/2/17,45,优,19,33,9,0.5,18,90
2020/2/18,49,优,27,32,8,0.6,28,97
2020/2/19,55,良,39,37,7,0.6,25,76
2020/2/20,64,良,46,43,8,0.7,25,111
2020/2/21,62,良,44,41,9,0.6,31,66
2020/2/22,83,良,61,89,10,0.9,42,94
2020/2/23,92,良,68,107,7,0.8,25,109
2020/2/24,85,良,63,87,8,1.0,44,84
2020/2/25,95,良,71,79,6,1.2,44,42
2020/2/26,50,优,35,43,4,0.7,19,87
2020/2/27,70,良,51,68,4,0.8,19,93
2020/2/28,38,优,26,25,4,0.7,28,59
2020/2/29,40,优,28,21,4,0.8,29,41
2020/3/1,50,优,35,29,5,0.7,27,58
2020/3/2,54,良,38,37,5,0.8,22,87
2020/3/3,72,良,52,49,8,1.0,44,64
2020/3/4,85,良,63,58,6,0.9,33,104
2020/3/5,56,良,31,41,8,0.7,24,107
2020/3/6,64,良,46,43,7,0.6,35,84
2020/3/7,67,良,48,53,6,0.9,43,75
2020/3/8,68,良,49,52,7,0.8,29,105
2020/3/9,37,优,19,25,5,0.7,29,47
2020/3/10,62,良,44,38,5,1.0,32,74
2020/3/11,67,良,48,68,7,1.0,39,113
2020/3/12,68,良,49,68,7,0.8,44,95
2020/3/13,67,良,48,70,7,0.9,45,46
2020/3/14,52,良,24,53,7,0.5,40,96
2020/3/15,77,良,38,86,12,0.8,61,109
2020/3/16,70,良,51,80,10,0.7,47,108
2020/3/17,74,良,43,77,10,0.7,59,122
2020/3/18,70,良,46,79,16,1.1,56,123
2020/3/19,77,良,35,104,14,0.9,47,78
2020/3/20,68,良,37,86,12,0.7,53,112
2020/3/21,67,良,42,67,10,0.9,53,87
2020/3/22,55,良,31,60,6,0.8,33,102
2020/3/23,42,优,19,41,8,0.5,33,83
2020/3/24,65,良,26,43,9,0.5,33,118
2020/3/25,63,良,30,48,9,0.8,50,66
2020/3/26,57,良,27,35,6,0.9,45,24
2020/3/27,34,优,12,27,6,0.6,27,62
2020/3/28,39,优,11,24,5,0.4,20,78
2020/3/29,35,优,22,27,6,0.7,28,57
2020/3/30,38,优,26,24,5,0.7,29,60
2020/3/31,48,优,28,34,5,0.7,38,40
2020/4/1,45,优,23,28,5,0.7,36,90
2020/4/2,54,良,30,57,7,0.7,39,101
2020/4/3,67,良,45,63,8,0.8,53,109
2020/4/4,93,良,60,87,11,1.1,74,125
2020/4/5,56,良,20,61,7,0.6,27,94
2020/4/6,65,良,31,50,8,0.6,36,117
2020/4/7,55,良,30,50,9,0.6,43,105
2020/4/8,62,良,29,55,9,0.5,45,114
2020/4/9,85,良,42,68,10,0.6,43,142
2020/4/10,70,良,43,65,8,0.7,32,124
2020/4/11,37,优,23,25,5,0.7,27,73
2020/4/12,70,良,31,52,7,0.6,26,123
2020/4/13,85,良,39,69,9,0.6,54,141
2020/4/14,81,良,42,64,10,0.7,49,137
2020/4/15,75,良,30,64,19,1.1,60,116
2020/4/16,75,良,33,71,12,0.8,60,111
2020/4/17,79,良,53,94,17,0.9,63,75
2020/4/18,66,良,47,82,9,0.8,41,112
2020/4/19,51,良,19,24,5,0.6,31,101
2020/4/20,65,良,25,37,9,0.8,52,110
2020/4/21,45,优,23,40,7,0.5,34,89
2020/4/22,63,良,29,45,7,0.4,41,115
2020/4/23,70,良,40,68,8,0.5,54,124
2020/4/24,85,良,30,69,15,0.7,68,130
2020/4/25,73,良,26,70,22,1.0,58,120
2020/4/26,77,良,36,76,14,0.8,47,132
2020/4/27,51,良,25,49,7,0.6,28,101
2020/4/28,81,良,25,45,7,0.5,34,137
2020/4/29,112,轻度污染,34,69,11,0.6,43,173
2020/4/30,90,良,43,80,12,0.8,55,148
2020/5/1,54,良,38,53,8,0.9,34,88
2020/5/2,80,良,39,60,13,1.2,35,136
2020/5/3,90,良,44,72,22,1.5,52,147
2020/5/4,132,轻度污染,43,69,18,1.4,40,195
2020/5/5,49,优,34,49,6,1.0,36,46
2020/5/6,45,优,29,44,5,0.8,29,89
2020/5/7,72,良,28,50,6,0.7,24,126
2020/5/8,40,优,24,40,6,0.8,26,44
2020/5/9,36,优,25,27,5,0.6,21,72
2020/5/10,55,良,27,32,6,0.9,43,105
2020/5/11,87,良,23,55,8,0.8,44,144
2020/5/12,77,良,15,61,12,0.6,46,132
2020/5/13,133,轻度污染,31,79,10,0.6,37,196
2020/5/14,58,良,35,52,7,0.8,29,109
2020/5/15,44,优,18,26,8,0.9,33,87
2020/5/16,52,良,22,35,11,1.0,41,100
2020/5/17,83,良,24,45,14,1.2,36,139
2020/5/18,60,良,19,64,8,0.7,30,112
2020/5/19,92,良,29,70,15,0.9,52,150
2020/5/20,127,轻度污染,35,71,13,0.7,35,189
2020/5/21,105,轻度污染,23,53,10,0.6,23,165
2020/5/22,75,良,16,31,6,0.6,16,130
2020/5/23,85,良,21,41,7,0.6,23,142
2020/5/24,130,轻度污染,39,70,12,0.9,35,193
2020/5/25,57,良,40,57,10,0.9,31,103
2020/5/26,75,良,26,35,6,0.9,25,129
2020/5/27,109,轻度污染,26,49,9,1.0,34,169
2020/5/28,99,良,41,66,14,1.2,44,158
2020/5/29,51,良,33,51,10,0.7,34,99
2020/5/30,46,优,18,25,5,0.6,18,91
2020/5/31,80,良,25,49,9,0.9,33,135
2020/6/1,116,轻度污染,34,62,7,0.8,31,177
2020/6/2,65,良,23,43,9,0.9,34,117
2020/6/3,48,优,14,27,7,0.8,24,95
2020/6/4,47,优,12,28,8,0.8,22,94
2020/6/5,36,优,10,17,5,0.7,25,71
2020/6/6,85,良,15,26,6,0.7,19,142
2020/6/7,80,良,16,37,7,0.5,17,135
2020/6/8,57,良,28,44,7,0.5,14,108
2020/6/9,60,良,18,31,6,0.6,15,112
2020/6/10,45,优,22,36,7,0.9,36,82
2020/6/11,68,良,33,48,6,1.0,36,121
2020/6/12,39,优,9,28,6,0.8,27,77
2020/6/13,53,良,11,23,6,0.8,35,103
2020/6/14,39,优,12,23,6,0.7,27,78
2020/6/15,44,优,7,19,6,0.7,35,46
2020/6/16,50,优,20,29,5,0.8,22,99
2020/6/17,46,优,17,43,7,0.8,26,91
2020/6/18,34,优,16,25,5,0.7,23,67
2020/6/19,60,良,13,25,6,0.8,28,111
2020/6/20,48,优,13,22,6,0.7,19,95
