场次ID,蓝方获胜情况,蓝方经济,红方经济,蓝方击杀小兵数,红方击杀小兵数,蓝方击杀野怪数,红方击杀野怪数,蓝方平均等级,红方平均等级,蓝方击杀英雄数,红方击杀英雄数,蓝方击杀小龙数,红方击杀小龙数,蓝方被推塔数,红方被推塔数,蓝方击杀大龙数,红方击杀大龙数
3493250918,0,32931,34647,468,464,119,107,11.5,12.3,6,12,1,2,2,2,0,0
3464936341,0,36461,38545,389,394,48,123,12.1,12.6,20,19,0,2,1,1,0,0
3428425921,1,42944,33909,464,393,123,113,12.6,12.6,17,11,3,0,1,5,0,0
3428347390,0,27150,40775,299,477,80,143,11,12.6,7,16,0,3,4,1,0,0
3428350940,1,40491,32011,504,448,147,80,13.1,11.8,16,8,3,0,1,3,0,0
3494458885,1,34130,30627,485,427,110,115,12.3,11.8,9,7,1,1,1,1,0,0
3463320642,1,34024,31136,469,462,129,107,12.3,11.5,8,5,2,1,1,2,0,0
3463280042,1,38788,35548,492,417,87,84,12.3,11.8,15,14,2,1,2,2,0,0
3462718876,1,36084,30907,508,485,107,127,12.9,12.3,11,5,1,2,1,2,0,0
3462733928,1,34946,36549,405,465,142,122,12.1,12.6,9,10,1,2,2,2,0,0
3494594463,0,31108,35943,411,523,94,119,12.1,12.1,9,9,2,0,2,1,0,0
3464834050,1,37445,28581,427,417,126,113,12.1,11.8,13,4,3,0,1,2,0,0
3431783366,1,33472,35297,488,461,143,123,12.6,12.9,6,10,2,1,2,2,0,0
3399726949,0,30947,42172,281,461,113,154,10.7,12.3,10,15,0,3,5,1,0,0
3399742211,1,36804,31951,457,445,130,123,11.8,11.8,12,7,2,0,2,3,0,0
3501697287,1,35917,32951,549,520,88,127,12.3,12.6,6,6,2,0,1,3,0,0
3500141669,1,37190,33274,498,465,137,139,12.9,12.6,10,6,1,2,1,2,0,0
3497105469,0,31105,38186,440,511,126,134,12.1,13.1,6,13,2,1,2,1,0,0
3486983506,0,35541,36620,453,469,133,139,12.3,12.6,9,11,1,2,1,2,0,0
3485738231,1,44381,32602,543,414,125,88,12.9,11.5,19,7,2,1,2,4,0,0
3501065091,1,35242,29906,535,449,90,92,12.1,11.8,9,5,0,3,1,1,0,0
3501083417,1,40432,29562,458,427,95,79,12.6,11.3,18,6,3,0,1,3,0,0
3473329630,1,38569,33201,490,474,129,118,12.6,12.1,14,8,1,1,1,2,0,0
3473278600,1,35135,35211,430,402,96,125,12.6,12.6,15,10,2,1,3,1,0,0
3473277297,1,45344,30749,364,312,110,86,12.3,11,30,8,2,0,1,5,0,0
3511843782,0,36539,40623,434,427,107,119,12.3,12.6,15,15,0,2,3,1,0,0
3511789649,0,39647,41364,374,383,27,101,11.8,12.1,20,24,0,3,2,2,0,0
3511760297,0,35033,37055,458,450,113,114,12.6,12.6,12,14,1,1,2,1,0,0
3509254065,1,40274,33606,415,382,113,102,13.1,11.5,19,11,1,2,1,3,0,0
3494149817,0,31026,37868,397,437,103,106,11.3,12.3,7,17,0,3,2,1,0,0
3494046558,0,32175,30780,457,489,126,121,12.3,12.1,5,5,2,1,1,2,0,0
3494090896,1,39222,34765,516,462,130,102,12.3,12.1,16,7,3,0,2,4,0,0
3493995932,0,33948,37599,438,464,110,106,11.8,11.8,8,12,1,2,3,3,0,0
3493607949,0,34206,40164,458,509,84,111,11.8,12.9,11,16,3,0,2,1,0,0
3511127920,1,37216,36310,421,445,143,121,12.3,12.9,13,13,2,1,2,2,0,0
3497668973,0,33487,39990,464,441,107,113,11.8,12.3,6,17,2,1,4,2,0,0
3497666139,0,29618,37901,433,460,99,182,12.1,13.1,5,12,0,3,2,1,0,0
3497624204,0,36177,34245,450,468,102,118,12.3,12.6,11,9,3,0,1,3,0,0
3496822056,1,42289,33824,453,411,109,84,12.9,11.5,20,12,2,1,1,3,0,0
3501021356,0,32171,42270,401,521,94,91,11.8,13.4,10,23,1,1,2,1,0,0
3500889654,1,34559,36279,442,490,118,98,12.3,12.1,9,12,2,0,2,1,0,0
3500885194,1,38997,30906,507,444,110,101,12.1,11.5,14,6,1,1,1,3,0,0
3484012618,0,29668,47762,377,450,80,121,11.3,12.6,6,28,0,3,6,1,0,0
3483868150,1,43807,36232,436,422,118,109,12.9,12.1,23,13,2,0,1,3,0,0
3483885733,0,31637,43704,351,457,84,118,11.3,13.1,10,22,0,3,4,1,0,0
3480891936,0,32902,32829,446,488,101,80,12.1,12.1,10,9,2,0,1,1,0,0
3492383242,1,39275,35797,460,423,96,102,12.1,12.3,17,13,2,1,1,2,0,0
3491895162,0,30623,36088,423,440,105,119,11.5,12.1,3,10,1,2,2,2,0,0
3491941034,1,33550,35125,465,489,131,137,12.9,12.9,8,9,2,0,2,1,0,0
3491819302,1,35864,35665,430,448,101,98,12.9,12.3,14,14,1,1,1,1,0,0
3491856165,1,42398,36692,461,472,155,107,12.6,12.3,21,13,2,0,2,2,0,0
3510001811,1,38276,35328,505,466,102,127,12.6,12.3,13,7,1,2,2,2,0,0
3509827501,0,39068,37005,488,532,107,96,13.1,12.6,14,8,2,0,3,3,0,0
3509793404,0,32354,31970,501,489,119,114,12.3,12.1,4,6,3,0,1,1,0,0
3509708789,0,34258,35091,456,556,121,111,12.9,12.6,11,7,2,1,2,1,0,0
3509666027,0,30844,46071,464,486,88,145,11.5,13.7,7,21,0,3,4,1,0,0
3476451388,1,35054,37721,456,484,110,158,12.3,12.6,11,12,0,2,3,1,0,0
3476348905,1,36684,32944,504,433,105,99,12.6,11.8,9,9,1,1,2,2,0,0
3475658224,0,35940,34177,529,477,91,123,12.1,12.1,11,9,1,1,1,2,0,0
3475664368,0,33395,34096,426,476,134,92,12.6,12.1,8,10,1,2,1,1,0,0
3475589140,0,33747,33789,415,397,102,82,11.5,11.3,11,13,2,0,1,2,0,0
3510686713,1,34430,31135,401,385,130,115,12.6,12.3,10,8,3,0,1,2,0,0
3510723969,1,32541,31745,470,431,119,91,12.3,11.5,9,6,3,0,2,1,0,0
3509261680,0,30982,38163,436,524,101,117,12.1,12.9,6,15,0,3,1,1,0,0
3507464028,0,30689,40894,398,441,86,133,10.7,12.9,9,19,0,3,3,1,0,0
3506047908,1,43179,31194,524,484,142,96,13.1,12.1,15,5,2,0,1,4,0,0
3510199720,0,36467,37685,504,444,102,109,12.3,13.1,12,16,2,1,1,1,0,0
3503823664,0,34857,35215,446,442,113,123,12.6,12.3,10,11,1,2,1,1,0,0
3503499275,1,36448,34116,481,488,94,113,12.3,12.3,12,6,3,0,2,2,0,0
3503477160,0,36042,39913,415,440,75,118,12.1,12.3,16,16,0,3,2,1,0,0
3502184816,0,36062,34139,473,512,115,96,12.3,12.3,11,8,2,1,1,2,0,0
3485972414,0,35470,37212,448,484,126,115,12.9,12.6,13,13,0,2,3,1,0,0
3485939768,1,35824,35175,444,446,106,101,12.6,12.1,11,12,0,2,1,2,0,0
3477871440,1,39874,33788,417,402,91,126,12.1,11.8,21,10,1,1,1,1,0,0
3477797602,0,29886,33744,417,470,103,121,12.1,12.1,6,11,0,3,1,1,0,0
3477745417,0,30104,38725,414,488,62,154,11.3,13.4,6,14,0,2,3,1,0,0
3484446850,1,39021,27706,504,429,145,98,12.9,11.3,11,2,3,0,1,3,0,0
3453882644,0,35749,38818,378,486,96,80,11.8,12.6,14,15,1,0,2,1,0,0
3453819135,1,33953,31842,480,394,123,98,12.1,11.5,7,10,1,1,1,2,0,0
3453855524,0,30983,38396,417,489,113,145,11.8,13.4,7,15,1,1,1,1,0,0
3453822310,0,33807,38024,390,485,118,125,12.1,12.9,9,17,1,2,1,1,0,0
3465850992,0,36829,33838,462,421,122,118,12.6,12.3,12,10,1,2,1,2,0,0
3463858121,0,30387,45525,326,492,54,115,10.2,12.6,10,15,0,3,8,1,0,0
3462420110,1,38446,32822,446,433,102,99,12.6,11.8,12,8,2,0,2,4,0,0
3458322760,0,32266,39372,436,461,118,149,12.1,13.1,8,14,0,3,3,1,0,0
3483129089,0,31948,36250,458,509,121,139,12.1,12.6,6,8,0,3,3,1,0,0
3483116200,1,38880,35887,406,445,113,105,12.3,12.3,16,11,2,0,2,4,0,0
3480414972,0,29952,35597,441,551,143,129,12.3,12.9,4,9,1,2,3,1,0,0
3480459958,1,38774,35716,382,377,92,87,11.8,11.5,16,16,0,2,1,3,0,0
3480337659,1,38462,32385,438,469,139,95,13.1,12.1,16,5,3,0,2,2,0,0
3506443878,1,36676,33389,469,409,114,82,12.1,12.3,12,12,1,2,1,2,0,0
3506413143,0,33132,36439,430,498,105,130,12.3,12.3,10,10,0,2,2,1,0,0
3501214047,1,37978,30039,503,426,131,111,12.9,11.3,12,4,1,2,2,2,0,0
3501230780,0,33032,38942,501,480,130,117,12.3,12.9,7,14,1,2,2,1,0,0
3501186744,0,33395,34205,440,512,118,135,12.6,12.3,10,7,1,2,2,1,0,0
3491942207,1,45631,40079,354,370,129,86,12.6,11.5,25,19,1,2,2,5,0,0
3489227645,0,34383,40601,445,457,103,105,11.5,12.9,8,17,1,2,3,1,0,0
3489282773,1,37563,33052,430,433,134,96,12.9,11.3,14,9,2,1,2,2,0,0
3488249599,1,38266,33542,402,383,107,86,12.3,11.5,16,14,0,1,1,2,0,0
3488055921,0,35562,34545,418,442,88,103,12.9,12.6,15,10,3,0,1,2,0,0
3512014915,0,30983,42548,379,472,71,150,11.5,13.1,9,16,0,3,5,1,0,0
3511974685,1,36929,30091,493,480,127,135,13.1,11.8,10,2,2,0,1,2,0,0
3512001398,0,30323,35546,425,477,135,133,12.3,13.1,5,12,0,2,1,1,0,0
3511938935,0,31352,36888,413,465,103,113,11.8,12.9,7,14,1,0,2,1,0,0
3511927287,0,30054,32344,437,461,126,113,11.8,12.1,5,9,2,1,1,1,0,0
3486747230,0,39156,36523,441,461,102,72,12.1,12.1,16,13,1,2,2,2,0,0
3477155656,0,34536,37710,453,478,118,102,12.3,12.9,10,13,2,1,2,1,0,0
3463819853,1,31249,30434,480,493,121,111,12.6,12.6,6,2,2,1,1,1,0,0
3461973229,1,32524,34032,458,500,103,143,12.1,12.9,7,7,1,1,2,1,0,0
3454752566,0,30997,33496,474,489,102,146,11.8,12.3,5,7,2,1,1,1,0,0
3507811406,1,35673,34414,490,477,83,123,11.5,12.1,10,6,0,3,3,2,0,0
3507728954,1,33621,35629,438,431,123,146,11.5,12.1,9,8,2,1,3,2,0,0
3507716096,0,32906,37635,394,484,123,121,11.8,12.6,11,13,2,1,2,1,0,0
3507700551,0,36054,33732,500,484,141,123,12.9,12.6,10,9,2,1,1,2,0,0
3507646335,1,40869,31095,421,387,123,64,12.6,11.5,18,9,2,0,1,4,0,0
3495405228,1,37291,36228,407,427,150,102,13.1,12.1,13,12,2,1,2,1,0,0
3495084355,0,38219,40065,399,477,98,95,12.1,12.1,18,17,1,1,2,1,0,0
3494989641,0,30949,42156,429,516,96,139,11.5,12.9,7,16,0,3,4,1,0,0
3494794885,0,34422,37249,469,381,107,118,12.1,12.3,9,18,2,1,1,2,0,0
3484246773,0,35463,43060,386,453,95,105,11.5,12.9,14,22,0,3,3,1,0,0
3451805842,0,33389,36578,399,441,133,123,12.1,12.3,11,13,1,1,2,1,0,0
3451739709,0,31198,36118,423,452,96,129,11.3,12.6,8,14,1,2,2,1,0,0
3450855716,0,30067,39614,401,517,107,142,12.3,13.1,7,12,1,2,3,1,0,0
3450767739,0,30993,31637,457,450,122,106,11.8,11.8,5,7,0,3,1,1,0,0
3511432610,0,31816,34553,484,523,113,123,12.3,12.6,6,5,2,1,2,1,0,0
3502232741,1,38362,30153,433,433,99,86,12.9,11.8,17,5,1,0,1,2,0,0
3481635485,0,36318,35281,480,403,102,88,12.6,12.1,12,13,0,2,2,1,0,0
3452107812,0,31537,39582,442,478,110,141,12.1,12.9,7,11,1,2,3,1,0,0
3452053068,0,33018,40248,450,496,118,131,12.1,12.6,6,14,0,3,4,2,0,0
3492369782,1,35999,38292,500,536,92,84,12.3,12.9,11,12,2,0,2,2,0,0
3486201066,0,31280,36124,454,394,117,105,12.1,12.1,8,12,0,2,3,1,0,0
3486107377,1,35014,33591,497,484,102,86,12.9,12.1,10,10,1,1,1,1,0,0
3480191039,1,41181,38198,494,481,113,88,12.3,12.6,16,15,1,1,2,3,0,0
3480155341,1,32453,34942,484,511,98,130,12.1,12.6,8,9,1,2,2,2,0,0
3511567531,1,33436,34539,450,419,99,138,12.1,12.3,10,11,0,3,1,1,0,0
3511561159,1,39706,31578,497,369,95,129,13.1,11.8,18,7,3,0,1,4,0,0
3497190858,1,33978,35712,438,488,113,150,11.8,13.1,6,11,2,1,2,3,0,0
3489149321,0,39132,39953,462,454,107,150,13.1,13.4,16,16,1,2,1,1,0,0
3489104877,1,38944,31782,449,472,103,79,12.9,12.1,19,7,2,0,1,2,0,0
3508546290,1,40603,36129,429,429,102,115,12.3,11.5,21,12,2,0,1,2,0,0
3508560041,1,39010,34482,473,410,129,139,12.6,12.3,13,11,1,2,2,3,0,0
3505186387,0,36597,35432,431,465,145,114,12.3,12.3,10,7,3,0,3,3,0,0
3505211704,1,37221,34035,473,456,96,96,12.9,12.6,13,11,2,0,1,2,0,0
3504350132,0,31416,40333,477,511,107,126,11.8,13.1,6,14,0,3,4,1,0,0
3501239305,1,36904,37852,423,488,96,121,12.3,12.1,11,12,1,1,3,3,0,0
3501256179,0,34620,38906,524,497,118,127,12.9,12.9,9,11,0,2,3,1,0,0
3493043094,0,33046,33767,511,464,84,107,11.3,12.6,5,12,0,1,1,2,0,0
3493051059,1,39296,31597,470,473,137,114,12.3,11.5,13,4,2,0,2,3,0,0
3492998686,1,39513,32026,438,448,166,110,13.1,11.8,15,5,2,1,2,3,0,0
3511776184,0,32708,36641,464,465,91,139,12.1,12.1,9,11,0,3,2,1,0,0
3511709574,1,39505,27700,482,359,123,102,12.9,11.3,15,3,0,3,1,3,0,0
3485248432,0,32516,42384,426,473,107,117,11.8,12.9,8,21,0,2,3,1,0,0
3480868929,0,37261,35810,431,472,101,102,11.8,12.1,14,12,2,1,1,2,0,0
3470672216,0,37334,34406,448,454,154,110,12.9,12.3,14,8,1,1,1,1,0,0
3469713037,0,35940,38471,528,498,96,147,12.3,12.6,9,14,1,2,2,2,0,0
3466616325,1,33110,30469,477,454,84,122,12.3,11.3,12,5,2,1,1,1,0,0
3464555499,1,36208,32307,533,500,149,102,12.9,12.3,9,7,3,0,1,2,0,0
3464513501,0,31030,40949,501,500,91,133,11.5,13.1,5,16,0,2,3,1,0,0
3497142312,0,33540,38107,440,505,150,113,12.1,12.3,7,12,2,1,2,2,0,0
3488807763,0,35604,36130,401,478,95,131,12.1,12.6,11,12,1,1,2,2,0,0
3447308397,1,36356,31935,508,519,134,123,12.9,12.6,13,5,1,1,1,2,0,0
3445745890,0,31352,41775,462,549,122,117,12.1,13.1,6,17,1,2,1,1,0,0
3445608206,1,37675,36502,529,474,129,106,13.1,12.3,9,11,1,2,2,2,0,0
3487970509,1,43936,34229,417,350,102,74,12.3,11.8,24,14,2,1,1,3,0,0
3459782621,1,33441,34382,525,500,107,113,12.6,11.8,7,9,0,3,2,2,0,0
3451656088,1,37848,32227,494,449,123,113,12.9,11.8,12,6,2,0,1,3,0,0
3449157928,0,33552,42892,411,460,90,119,11.3,12.3,10,18,0,3,4,2,0,0
