USER_ID,LAST_VISITS,TYPE,number_consumers,expenditure
3300,2016-05-23 21:14:00,非流失,10.0,1782.0
3300,2016-05-23 21:14:00,非流失,2.0,345.0
3300,2016-05-23 21:14:00,非流失,10.0,1295.0
3300,2016-05-23 21:14:00,非流失,6.0,869.0
3497,2016-07-18 13:40:00,非流失,3.0,589.0
3497,2016-07-18 13:40:00,非流失,10.0,1849.0
3497,2016-07-18 13:40:00,非流失,5.0,706.0
2863,2016-04-16 20:51:00,已流失,3.0,654.0
2863,2016-04-16 20:51:00,已流失,6.0,647.0
3006,2016-03-26 20:47:00,已流失,2.0,384.0
3006,2016-03-26 20:47:00,已流失,4.0,685.0
3160,2016-07-17 11:40:00,非流失,8.0,1161.0
3160,2016-07-17 11:40:00,非流失,3.0,300.0
3160,2016-07-17 11:40:00,非流失,7.0,862.0
1157,2016-04-17 19:55:00,非流失,7.0,1196.0
1157,2016-04-17 19:55:00,非流失,10.0,1676.0
1157,2016-04-17 19:55:00,非流失,5.0,487.0
1157,2016-04-17 19:55:00,非流失,7.0,897.0
1158,2016-05-22 17:36:00,准流失,7.0,1151.0
1158,2016-05-22 17:36:00,准流失,10.0,1199.0
3153,2016-01-21 17:06:00,已流失,4.0,453.0
2610,2016-07-09 12:06:00,准流失,3.0,337.0
2610,2016-07-09 12:06:00,准流失,5.0,633.0
2774,2016-04-26 20:34:00,已流失,4.0,566.0
2007,2016-05-02 19:01:00,准流失,5.0,760.0
2007,2016-05-02 19:01:00,准流失,7.0,1178.0
3291,2016-04-18 19:43:00,准流失,10.0,1643.0
3291,2016-04-18 19:43:00,准流失,9.0,1056.0
3087,2016-06-19 12:16:00,非流失,9.0,1209.0
3087,2016-06-19 12:16:00,非流失,8.0,1430.0
3062,2016-07-19 13:27:00,准流失,7.0,1404.0
3062,2016-07-19 13:27:00,准流失,5.0,784.0
2451,2016-07-28 13:04:00,非流失,7.0,1181.0
2451,2016-07-28 13:04:00,非流失,9.0,1389.0
2451,2016-07-28 13:04:00,非流失,3.0,698.0
1690,2016-03-14 21:53:00,准流失,9.0,1354.0
2603,2016-05-04 20:38:00,非流失,8.0,1104.0
2603,2016-05-04 20:38:00,非流失,7.0,1512.0
2603,2016-05-04 20:38:00,非流失,5.0,881.0
3744,2016-05-21 20:41:00,准流失,4.0,769.0
3744,2016-05-21 20:41:00,准流失,7.0,1314.0
3474,2016-03-24 21:15:00,准流失,6.0,500.0
3474,2016-03-24 21:15:00,准流失,3.0,611.0
3206,2016-04-12 20:09:00,准流失,9.0,1035.0
3626,2016-02-17 18:07:00,已流失,3.0,381.0
3626,2016-02-17 18:07:00,已流失,7.0,1368.0
3381,2016-06-17 11:41:00,准流失,2.0,254.0
3381,2016-06-17 11:41:00,准流失,5.0,868.0
3381,2016-06-17 11:41:00,准流失,4.0,738.0
1680,2016-01-23 12:18:00,已流失,5.0,637.0
3835,2016-07-22 13:06:00,非流失,2.0,363.0
3835,2016-07-22 13:06:00,非流失,3.0,442.0
3835,2016-07-22 13:06:00,非流失,3.0,672.0
3835,2016-07-22 13:06:00,非流失,9.0,985.0
3835,2016-07-22 13:06:00,非流失,9.0,1239.0
3835,2016-07-22 13:06:00,非流失,7.0,1407.0
3835,2016-07-22 13:06:00,非流失,6.0,855.0
3835,2016-07-22 13:06:00,非流失,8.0,1287.0
3835,2016-07-22 13:06:00,非流失,4.0,408.0
3835,2016-07-22 13:06:00,非流失,3.0,421.0
3835,2016-07-22 13:06:00,非流失,5.0,519.0
3835,2016-07-22 13:06:00,非流失,10.0,1219.0
3835,2016-07-22 13:06:00,非流失,2.0,231.0
3835,2016-07-22 13:06:00,非流失,9.0,984.0
3835,2016-07-22 13:06:00,非流失,7.0,876.0
3835,2016-07-22 13:06:00,非流失,5.0,587.0
3835,2016-07-22 13:06:00,非流失,6.0,832.0
3835,2016-07-22 13:06:00,非流失,6.0,875.0
3835,2016-07-22 13:06:00,非流失,6.0,964.0
3835,2016-07-22 13:06:00,非流失,8.0,1556.0
3835,2016-07-22 13:06:00,非流失,7.0,1158.0
3835,2016-07-22 13:06:00,非流失,10.0,1811.0
3835,2016-07-22 13:06:00,非流失,4.0,660.0
3835,2016-07-22 13:06:00,非流失,6.0,1151.0
3835,2016-07-22 13:06:00,非流失,5.0,598.0
3835,2016-07-22 13:06:00,非流失,6.0,778.0
3835,2016-07-22 13:06:00,非流失,6.0,833.0
2088,2016-07-14 13:37:00,非流失,4.0,545.0
2088,2016-07-14 13:37:00,非流失,8.0,1336.0
2088,2016-07-14 13:37:00,非流失,4.0,470.0
2088,2016-07-14 13:37:00,非流失,4.0,741.0
2088,2016-07-14 13:37:00,非流失,4.0,611.0
2088,2016-07-14 13:37:00,非流失,9.0,1346.0
2950,2016-02-03 18:53:00,已流失,2.0,347.0
2417,2016-07-21 13:58:00,准流失,2.0,230.0
2417,2016-07-21 13:58:00,准流失,2.0,220.0
2594,2016-06-11 13:42:00,准流失,4.0,813.0
2594,2016-06-11 13:42:00,准流失,7.0,982.0
3600,2016-01-03 11:08:00,已流失,4.0,644.0
2990,2016-07-04 11:50:00,非流失,9.0,1023.0
2990,2016-07-04 11:50:00,非流失,6.0,500.0
2990,2016-07-04 11:50:00,非流失,9.0,1338.0
