订单号,设备ID,应付金额,实际金额,商品,支付时间,地点,状态,提现,大类,二级类
DD201708167493190200943961687,E43A6E078A04228,4.5,4.5,250ml燕塘原味酸奶,2017/6/1 0:01,C,已出货未退款,已提现,饮料,乳制品
DD201708167493190206930007675,E43A6E078A04134,2,2,145ml旺仔牛奶盒装,2017/6/1 0:02,B,已出货未退款,已提现,饮料,乳制品
DD201708167493190368633848103,E43A6E078A04172,1.5,1.5,劲仔小鱼（卤香味）,2017/6/1 0:07,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
DD201708167493466235023422173,E43A6E078A04172,4.5,4.5,80g香飘飘椰果奶茶麦香味,2017/6/1 0:08,A,已出货未退款,已提现,饮料,茶饮料
DD20170521150353225D2CC0CD748,E43A6E078A04172,3,3,伊利纯牛奶,2017/6/1 0:08,A,已出货未退款,已提现,饮料,乳制品
DD201708167493851437276396145,E43A6E078A06874,2.5,2.5,250ml维他奶巧克力味,2017/6/1 0:08,E,已出货未退款,已提现,饮料,植物蛋白
DD201708167493466240319032235,E43A6E078A06874,3.5,3.5,600ml可口可乐,2017/6/1 0:08,E,已出货未退款,已提现,饮料,碳酸饮料
DD20170805161925234527B495417,E43A6E078A06874,3.5,3.5,东鹏特饮,2017/6/1 0:08,E,已出货未退款,已提现,饮料,功能饮料
DD201708167493937327026753922,E43A6E078A04172,0.8,0.8,20g咪咪虾条马来西亚风味,2017/6/1 0:13,A,已出货未退款,已提现,非饮料,膨化食品
DD201708167493798546789160547,E43A6E078A04172,3,3,250ml维他原味豆奶,2017/6/1 0:13,A,已出货未退款,已提现,饮料,植物蛋白
DD2017052114132768E6137156368,E43A6E078A04172,3.5,3.5,王老吉（罐）,2017/6/1 0:13,A,已出货未退款,已提现,饮料,茶饮料
DD201708167493486859003674891,E43A6E078A04134,3,3,250ml维他奶巧克力味,2017/6/1 0:13,B,已出货未退款,已提现,饮料,植物蛋白
DD201705231619092551E5742F089,E43A6E078A04134,3.5,3.5,统一绿茶,2017/6/1 0:13,B,已出货未退款,已提现,饮料,茶饮料
DD201708167493799180409139687,E43A6E078A04228,3,3,250ml维他柠檬茶,2017/6/1 0:13,C,已出货未退款,已提现,饮料,茶饮料
DD201708167493851537251506863,E43A6E078A04228,2.5,2.5,250ml维他原味豆奶,2017/6/1 0:13,C,已出货未退款,已提现,饮料,植物蛋白
DD201708167493466182213051057,E43A6E078A04228,1.5,1.5,40g双汇玉米热狗肠,2017/6/1 0:13,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
DD2017080714235691BC8FE04C389,E43A6E078A04228,5,5,阿萨姆奶茶,2017/6/1 0:13,C,已出货未退款,已提现,饮料,茶饮料
DD20170509114832757870A1BCEA9,E43A6E078A06874,3,3,雪碧（500ml）,2017/6/1 0:13,E,已出货未退款,已提现,饮料,碳酸饮料
DD201708167493190547760653358,E43A6E078A07631,3,3,新麦潮北海道吐司,2017/6/1 0:20,D,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493190617297519374,E43A6E078A04172,1.6,1.6,20g马来西亚风味咪咪蟹味粒0219,2017/6/1 0:31,A,已出货未退款,已提现,非饮料,膨化食品
DD201708167493190630968547033,E43A6E078A04172,4,4,250ml维他椰子植物蛋白饮料,2017/6/1 0:44,A,已出货未退款,已提现,饮料,植物蛋白
DD20170513232123662AF9B213BCA,E43A6E078A04172,3.5,3.5,王老吉（罐）,2017/6/1 0:53,A,已出货未退款,已提现,饮料,茶饮料
DD201708167493775793506067113,E43A6E078A04134,3,3,250ml维他柠檬茶,2017/6/1 0:53,B,已出货未退款,已提现,饮料,茶饮料
DD201708167493799328898347853,E43A6E078A04134,3,3,250ml维他原味豆奶,2017/6/1 0:53,B,已出货未退款,已提现,饮料,植物蛋白
DD201708167493486845840806141,E43A6E078A04134,3.6,3.6,600ml雪碧,2017/6/1 0:53,B,已出货未退款,已提现,饮料,碳酸饮料
DD20170807142334476EB6C70C615,E43A6E078A04134,5,5,阿萨姆奶茶,2017/6/1 0:53,B,已出货未退款,已提现,饮料,茶饮料
DD201705231558216300012C78984,E43A6E078A04228,3.5,3.5,百事可乐500ml,2017/6/1 0:53,C,已出货未退款,已提现,饮料,碳酸饮料
DD2017052316001381C27E58F378C,E43A6E078A06874,3.5,3.5,可口可乐（500ml）,2017/6/1 0:53,E,已出货未退款,已提现,饮料,碳酸饮料
DD201708167493190722100520355,E43A6E078A04172,6.5,6.5,70g乐事薯片黄瓜味,2017/6/1 1:03,A,已出货未退款,已提现,非饮料,膨化食品
DD201708167493190733355160308,E43A6E078A04172,1.5,1.5,12g劲仔小鱼麻辣味,2017/6/1 1:06,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
DD20170816749319082001052172,E43A6E078A04134,7,7,40g卫龙点心面黑椒牛排味,2017/6/1 2:50,B,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
DD201708167493190857779068774,E43A6E078A04228,2.4,2.4,咪咪虾条马来西亚风味,2017/6/1 2:51,C,已出货未退款,已提现,非饮料,膨化食品
DD201708167493190974379061901,E43A6E078A06874,2.5,2.5,58g丽芝士纳宝帝奶酪威化饼干,2017/6/1 3:29,E,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493190981219942105,E43A6E078A04134,4,4,450ml美汁源果粒橙,2017/6/1 3:30,B,已出货未退款,已提现,饮料,果蔬饮料
DD20170816749319101637818674,E43A6E078A04134,6,6,250ml红牛,2017/6/1 3:31,B,已出货未退款,已提现,饮料,功能饮料
DD201708167493191126635047031,E43A6E078A04172,5.5,5.5,农夫果园,2017/6/1 3:53,A,已出货未退款,已提现,饮料,果蔬饮料
DD201708167493191127998451508,E43A6E078A06874,1.5,1.5,12g劲仔小鱼麻辣味,2017/6/1 4:17,E,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
DD201708167493191193017790497,E43A6E078A07631,6,6,40g双汇玉米热狗肠,2017/6/1 4:18,D,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
DD201708167493191222859827436,E43A6E078A07631,2.5,2.5,145ml旺仔牛奶盒装,2017/6/1 4:20,D,已出货未退款,已提现,饮料,乳制品
DD201708167493191230745867648,E43A6E078A04134,4.5,4.5,68g好丽友巧克力派2枚,2017/6/1 4:21,B,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493191400546537688,E43A6E078A04228,5.5,5.5,55g奥利奥迷你杯夹心小饼干杯装原味,2017/6/1 4:22,C,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493191417382561108,E43A6E078A07631,1.8,1.8,32g卫龙亲嘴烧红烧牛肉味,2017/6/1 4:26,D,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
DD201708167493191604335118103,E43A6E078A04172,6.5,6.5,70g乐事薯片黄瓜味,2017/6/1 4:27,A,已出货未退款,已提现,非饮料,膨化食品
DD201708167493191641997781026,E43A6E078A04172,3,3,250ml维他原味豆奶,2017/6/1 4:49,A,已出货未退款,已提现,饮料,植物蛋白
