weight,age,height,size
70,28,172.72,XL
65,36,167.64,L
61,34,165.1,M
71,27,175.26,L
62,45,172.72,M
50,27,160.02,S
53,65,160.02,M
54,26,167.64,M
53,32,165.1,S
70,26,165.1,L
52,28,160.02,M
71,33,165.1,L
69,30,167.64,L
63,27,172.72,M
63,30,167.64,M
54,20,167.64,S
55,37,160.02,M
50,43,160.02,M
82,29,177.8,XL
64,32,160.02,XL
54,47,165.1,M
65,31,164.94,XL
71,27,172.72,L
47,43,157.48,S
61,27,165.1,M
58,29,172.72,M
68,36,162.56,XL
71,27,170.18,L
71,34,170.18,L
54,40,157.48,M
52,45,154.94,M
52,30,170.18,S
67,34,172.72,L
49,24,167.64,S
61,28,162.56,M
56,32,157.48,M
50,27,170.18,S
71,33,165.1,L
71,33,167.64,XL
51,30,164.56,M
72,28,162.56,L
63,28,172.72,M
70,27,167.64,XL
68,28,167.64,L
78,8,175.26,XL
71,36,167.48,XL
51,40,159.48,M
53,33,162.56,S
56,32,165.1,M
68,42,165.1,XL
61,30,172.72,M
54,34,160.02,S
71,36,167.64,L
54,31,162.56,M
69,33,167.64,L
49,17,167.64,S
57,37,157.48,M
58,24,170.18,M
74,31,170.18,XL
54,36,170.18,S
77,30,167.64,XL
63,53,167.64,M
62,30,177.8,M
69,30,170.18,XL
75,27,167.64,XL
61,31,170.18,M
71,33,167.64,L
71,47,170.18,L
63,31,175.26,M
69,23,162.56,L
66,23,180.34,XL
,23,170.18,XL
53,29,160.02,M
63,34,172.72,M
54,29,167.48,S
56,28,165.1,M
68,29,162.56,L
,39,160.02,L
63,37,172.72,M
58,29,157.48,M
,33,167.64,L
62,24,175.26,M
71,33,167.48,XL
68,42,167.64,XL
59,31,162.56,M
58,33,160.02,M
58,31,157.48,M
71,29,172.72,L
73,29,180.34,XL
68,29,162.56,XL
71,32,172.72,L
58,36,175.26,M
54,37,,M
53,42,167.64,S
54,41,162.56,S
72,41,170.18,L
52,42,165.1,S
20,32,170.18,S
56,33,162.56,M
62,33,170.18,L
56,52,162.56,M
71,31,172.72,XL
64,38,167.64,L
71,39,175.26,XL
54,23,162.56,M
58,29,167.64,M
70,34,170.18,XL
58,30,167.64,M
54,29,165.1,S
,32,162.56,M
54,33,164.94,S
58,26,170.18,M
78,30,177.8,L
64,46,167.64,L
62,52,162.56,M
63,32,172.72,M
61,31,162.56,M
64,41,162.56,L
54,34,162.56,M
53,23,170.26,S
65,30,175.26,M
65,38,160.02,L
53,28,162.4,S
68,46,162.56,XL
