字段,含义,分类
tj/,图书配套资料,教学资源
tzjingsai/,竞赛,竞赛
ts/,教学书籍,教学资源
news/,新闻与动态,新闻动态
notice/,公告与通知,竞赛
jingsa/,竞赛,竞赛
zytj/,教学资源,教学资源
notices/,公告与通知,新闻动态
stpj/,获奖名单,新闻动态
jmgj/,建模工具,教学资源
rcfh/,人才孵化,项目与合作
ganhuofenxiang/,干货分享,教学资源
information/,案例教程,教学资源
rmpx/,培训信息,新闻动态
sj/,培训信息,新闻动态
zxns/,招贤纳士,项目与合作
qk/,赛题下载,竞赛
xmfh/,项目孵化,项目与合作
hjmdsi/,获奖名单,新闻动态
youxiuzuop/,优秀作品,竞赛
jingsaizixun/,竞赛咨询,新闻动态
tzbjszx/,竞赛咨询,新闻动态
thirdtipdm/,竞赛,竞赛
zwhzj/,组委会专家,新闻动态
youxiuzuopin/,优秀作品,优秀作品
zyjldsdyjjszx/,竞赛咨询,新闻动态
jssyjssxjmkycxsjds/,竞赛,竞赛
jxsp/,教学视频,教学资源
qyal/,企业应用,项目与合作
wjxq/,项目需求,项目与合作
fh/,孵化,项目与合作
peixunxinxi/,培训信息,项目与合作
kjxm/,创新科技,项目与合作
huojiangmingdan/,获奖名单,新闻动态
jszx/,竞赛咨询,新闻动态
firsttipdm/,第1届比赛优秀作品,竞赛
yxiuzuopin/,优秀作品,优秀作品
yxlw/,优秀作品,优秀作品
secondtipdm/,第4届比赛优秀作品,竞赛
saizhi/,赛制,竞赛
td/,泰迪组委会,新闻动态
sjfxs/,赛前指导,竞赛
jljingsai/,竞赛,竞赛
dwqbygajrsxjmjs/,竞赛,竞赛
