,新闻动态,教学资源,项目与合作,竞赛,优秀作品
131075.0,0,0,0,4,0
131077.5,0,0,0,2,0
98335.0,1,0,0,0,0
47.0,0,1,0,0,0
48.0,0,0,0,1,0
49.0,0,1,0,0,0
50.0,0,0,0,1,0
51.0,0,1,0,0,0
55.0,0,1,0,0,0
98360.0,0,1,0,0,0
98364.0,0,0,0,1,0
60.0,0,1,0,0,0
63.0,0,1,0,0,0
98368.0,4,0,0,10,0
67.0,0,1,0,0,0
98373.0,0,0,0,1,0
71.0,0,0,1,0,0
72.0,0,1,0,0,0
98376.0,0,1,0,0,0
131147.0,2,0,0,16,0
98385.5,0,0,0,10,0
81.0,0,1,0,0,0
83.0,0,1,0,0,0
82.0,0,1,0,0,0
98390.0,6,0,0,0,0
131158.5,0,0,0,4,0
98393.0,0,0,0,1,0
131164.0,0,0,0,18,0
98397.5,0,0,0,10,0
93.0,0,1,0,0,0
95.0,0,1,0,0,0
94.0,0,0,1,0,0
96.0,0,0,0,1,0
98.0,0,0,0,1,0
92.0,0,1,0,0,0
101.0,0,0,0,1,0
102.0,0,1,0,0,0
98407.0,1,0,0,0,0
98408.0,0,1,0,0,0
104.0,0,0,1,0,0
103.0,1,0,0,0,0
105.0,0,0,1,0,0
108.0,0,1,0,0,0
107.0,1,0,0,0,0
110.0,0,1,0,0,0
98410.0,0,1,0,0,0
98413.0,0,0,0,1,0
113.5,0,0,0,8,0
98414.0,0,1,0,0,0
98420.0,0,1,0,0,0
118.5,0,0,0,12,0
98422.0,0,1,0,0,0
98424.0,0,0,0,1,0
98426.0,0,1,0,0,0
98428.0,0,1,0,0,0
125.0,4,0,0,10,0
98431.5,4,0,0,0,0
98434.0,1,0,0,0,0
98435.0,0,1,0,0,0
98438.0,0,0,1,0,0
98440.0,0,1,0,0,0
98442.5,2,0,0,0,0
139.0,2,0,0,12,0
98453.0,0,1,0,0,0
150.0,0,0,0,1,0
98454.0,0,1,0,0,0
98456.0,0,1,0,0,0
98459.0,0,1,0,0,0
98460.0,0,1,0,0,0
98461.0,0,1,0,0,0
98466.0,0,1,0,0,0
98468.0,0,0,0,1,0
166.0,0,0,0,7,0
98470.0,0,1,0,0,0
98472.0,0,1,0,0,0
169.5,0,0,0,4,0
98474.0,0,1,0,0,0
171.0,0,0,0,1,0
98476.0,1,0,0,0,0
175.0,0,0,0,10,0
131258.0,2,0,0,8,0
131265.0,0,0,0,13,0
131271.5,0,0,0,3,0
202.5,0,0,0,4,0
98506.0,0,1,0,0,0
98508.0,0,1,0,0,0
206.5,0,0,0,12,0
210.5,0,0,0,4,0
216.0,0,0,0,15,0
131292.5,4,0,0,4,0
131300.5,2,0,0,10,0
235.5,0,0,0,4,0
237.0,0,0,0,1,0
238.5,0,0,0,4,0
131311.5,0,0,0,16,0
242.5,0,0,0,8,0
247.5,0,0,0,8,0
131341.5,0,0,0,2,0
131345.0,0,0,0,6,0
131349.0,0,0,0,10,0
131353.0,0,0,0,6,0
131357.0,0,0,0,10,0
131362.5,0,0,0,12,0
131367.0,0,0,0,4,0
299.5,0,0,0,12,0
306.5,0,0,0,8,0
310.0,0,0,0,4,0
314.0,0,0,0,10,0
317.0,0,0,0,1,0
318.5,0,0,0,4,0
131403.5,8,0,0,12,0
333.5,0,0,0,8,0
131409.0,0,0,0,1,0
338.5,2,0,0,10,0
342.0,0,0,0,1,0
345.5,4,0,0,8,0
364.5,0,0,0,8,0
368.0,0,0,0,6,0
372.0,0,0,0,8,0
381.5,0,0,0,10,0
397.0,2,1,0,8,0
418.0,0,0,0,6,0
131496.0,4,0,0,6,0
131506.0,0,0,0,9,0
438.0,0,0,0,6,0
131515.5,0,0,0,8,0
443.0,0,0,0,10,0
448.0,0,0,0,10,0
454.5,4,0,0,12,0
98774.0,0,1,0,0,0
98775.0,0,0,0,1,0
98776.0,0,0,0,1,0
98777.0,0,1,0,0,0
98778.0,0,1,0,0,0
98779.0,0,1,0,0,0
98782.0,0,1,0,0,0
98783.0,0,1,0,0,0
98785.0,0,1,0,0,0
98786.0,0,1,0,0,0
98787.0,0,1,0,0,0
98788.0,0,1,0,0,0
98789.0,0,1,0,0,0
131558.0,0,0,2,6,0
98790.0,0,1,0,0,0
98791.5,0,1,0,0,0
98793.0,0,0,0,1,0
131562.0,0,6,0,0,0
98794.0,0,1,0,0,0
98796.0,0,1,0,0,0
98797.0,0,1,0,0,0
98795.0,0,0,1,0,0
98799.0,0,0,0,1,0
98798.0,0,1,0,0,0
98802.0,0,0,1,0,0
131573.5,0,0,0,15,0
98815.0,13,0,0,0,0
514.5,0,0,0,7,0
518.0,0,0,0,6,0
98823.5,0,0,2,0,0
522.0,0,0,0,8,0
98828.0,0,1,0,0,0
527.5,0,0,0,10,0
98834.0,0,1,0,0,0
548.0,0,0,0,18,0
553.0,0,0,0,1,0
131626.0,0,0,0,8,0
131633.5,0,0,0,8,0
131639.5,0,0,0,7,0
570.0,0,0,0,6,0
572.0,0,0,0,1,0
574.5,0,0,0,8,0
131648.5,0,0,0,20,0
131654.5,0,0,0,4,0
131657.5,0,0,0,4,4
131664.5,0,0,0,8,0
600.0,0,0,0,6,0
131674.0,0,0,0,18,0
603.5,0,0,0,4,0
602.0,0,0,0,1,0
622.5,0,0,0,4,0
628.5,0,0,0,16,0
638.0,0,0,0,18,0
131714.0,0,0,0,12,0
644.0,0,0,0,6,0
646.0,0,0,0,1,0
131719.5,0,0,0,6,0
650.0,0,0,0,14,0
131723.0,0,6,0,0,0
654.0,0,0,0,1,0
131729.0,0,0,0,14,0
664.5,0,0,0,17,0
131737.0,0,0,0,13,0
131743.5,2,0,0,10,0
697.5,2,0,0,13,0
131797.0,0,6,0,6,4
732.0,0,0,0,6,0
131805.0,8,0,0,4,0
748.0,0,1,0,0,0
131852.5,0,0,0,12,8
